variable,dtype,non_null_count,null_count,unique_values,year_coverage,sample_values
rstpprnt,float64,348,72042,2,2022-2022,"[2.0, 2.0]"
dangslf2,float64,348,72042,10,2018-2018,"[1.0, 1.0, 5.0, 8.0, 4.0]"
uscitznv,float64,345,72045,4,2021-2022,"[1.0, 1.0, 1.0, 2.0]"
acqwkno,float64,344,72046,5,2006-2006,"[3.0, 4.0, 1.0, 5.0, 2.0]"
compfri,float64,344,72046,2,2000-2002,"[1.0, 1.0]"
rgprntu18,float64,344,72046,2,2022-2022,"[2.0, 2.0]"
complib,float64,343,72047,2,2000-2002,"[2.0, 1.0]"
compelse,float64,342,72048,2,2000-2002,"[1.0, 1.0]"
genedef3,float64,342,72048,32,1990-1990,"[30.0, 35.0, 14.0, 80.0, 5.0]"
genegoo1,float64,342,72048,2,1996-1996,"[1.0, 2.0]"
coevwork,float64,339,72051,2,2012-2022,"[1.0, 2.0]"
monrelig,float64,339,72051,2,1996-1996,"[1.0, 2.0]"
brkdhlp3,float64,338,72052,15,1996-1996,"[910.0, 910.0, 910.0, 106.0, 910.0]"
supothrs,float64,334,72056,2,1991-1991,"[2.0, 2.0]"
carbuyf,float64,334,72056,2,1996-1996,"[2.0, 2.0]"
perhrh,float64,333,72057,16,2000-2000,"[2.0, 1.0, 1.0, 3.0, 1.0]"
switage1,float64,333,72057,50,1988-1988,"[21.0, 30.0, 20.0, 44.0, 16.0]"
away4,float64,332,72058,1,1975-2022,[1.0]
knwwht,float64,331,72059,2,2000-2000,"[1.0, 1.0]"
acqwkcon,float64,331,72059,5,2006-2006,"[1.0, 3.0, 5.0, 3.0, 1.0]"
rrltu18,float64,331,72059,2,2022-2022,"[2.0, 2.0]"
supduty5,float64,330,72060,2,1991-1991,"[1.0, 1.0]"
supduty4,float64,330,72060,2,1991-1991,"[2.0, 1.0]"
supduty7,float64,330,72060,2,1991-1991,"[1.0, 1.0]"
supduty1,float64,330,72060,2,1991-1991,"[1.0, 2.0]"
carbuya,float64,330,72060,2,1996-1996,"[1.0, 1.0]"
supduty2,float64,330,72060,2,1991-1991,"[1.0, 1.0]"
supduty6,float64,328,72062,2,1991-1991,"[1.0, 2.0]"
supduty3,float64,328,72062,2,1991-1991,"[1.0, 1.0]"
acqnhcon,float64,324,72066,5,2006-2006,"[1.0, 3.0, 3.0, 2.0, 1.0]"
carbuyg,float64,324,72066,2,1996-1996,"[2.0, 2.0]"
rprnt18,float64,324,72066,2,2022-2022,"[1.0, 2.0]"
crimdown,float64,323,72067,2,2004-2004,"[1.0, 1.0]"
supnum,float64,323,72067,38,1989-1989,"[1.0, 1.0, 6.0, 10.0, 3.0]"
rclose4,float64,322,72068,2,1985-1985,"[2.0, 2.0]"
orgsize,float64,322,72068,8,1998-1998,"[2.0, 7.0, 4.0, 8.0, 5.0]"
rnrltu18,float64,320,72070,2,2022-2022,"[2.0, 2.0]"
wrkhrh,float64,319,72071,17,2000-2000,"[0.0, 2.0, 0.0, 0.0, 0.0]"
totsup,float64,319,72071,51,1991-1991,"[1.0, 2.0, 27.0, 8.0, 125.0]"
erawhy3,float64,319,72071,44,1982-1982,"[35.0, 72.0, 32.0, 60.0, 63.0]"
sptmkid1,float64,319,72071,3,2000-2000,"[2.0, 2.0, 1.0]"
relhome,float64,318,72072,5,1996-1996,"[5.0, 5.0, 5.0, 5.0, 5.0]"
solsport,float64,318,72072,2,1987-1987,"[2.0, 2.0]"
haprom,float64,317,72073,3,1996-1996,"[2.0, 1.0, 1.0]"
acqnhlib,float64,317,72073,5,2006-2006,"[1.0, 3.0, 5.0, 5.0, 1.0]"
frndrel5,float64,317,72073,5,1998-1998,"[2.0, 4.0, 1.0, 2.0, 1.0]"
carbuyd,float64,316,72074,2,1996-1996,"[2.0, 2.0]"
acqwklib,float64,316,72074,5,2006-2006,"[5.0, 3.0, 4.0, 1.0, 3.0]"
carbuyb,float64,315,72075,2,1996-1996,"[1.0, 1.0]"
sbyrbrn7,float64,315,72075,75,1994-1994,"[1935.0, 1930.0, 1969.0, 1971.0, 1937.0]"
artwhy1,float64,313,72077,3,2016-2016,"[1.0, 3.0, 3.0]"
artwhy3,float64,313,72077,3,2016-2016,"[1.0, 3.0, 1.0]"
artwhy4,float64,313,72077,3,2016-2016,"[3.0, 3.0, 3.0]"
artwhy2,float64,313,72077,3,2016-2016,"[2.0, 3.0, 1.0]"
artwhy5,float64,313,72077,3,2016-2016,"[1.0, 3.0, 2.0]"
artwhy6,float64,313,72077,3,2016-2016,"[1.0, 2.0, 3.0]"
artwhy7,float64,313,72077,3,2016-2016,"[1.0, 1.0, 2.0]"
artatt,float64,313,72077,3,2016-2016,"[3.0, 3.0, 3.0]"
artwhy8,float64,312,72078,2,2016-2016,"[1.0, 2.0]"
emaillnk,float64,312,72078,5,2002-2002,"[2.0, 2.0, 2.0, 3.0, 1.0]"
artfree,float64,312,72078,2,2016-2016,"[2.0, 2.0]"
litsite,float64,312,72078,2,2000-2002,"[1.0, 1.0]"
litget,float64,312,72078,2,2000-2002,"[1.0, 1.0]"
scinews2,float64,311,72079,3,2010-2018,"[1.0, 1.0, 1.0]"
litauth,float64,311,72079,2,2000-2002,"[1.0, 2.0]"
litread,float64,311,72079,2,2000-2002,"[2.0, 2.0]"
ecomhrh,float64,310,72080,9,2000-2000,"[0.0, 0.0, 0.0, 2.0, 1.0]"
extr2021,float64,310,72080,2,2022-2022,"[2.0, 2.0]"
newskill,float64,310,72080,5,2016-2016,"[2.0, 2.0, 3.0, 1.0, 3.0]"
drinkyr,float64,310,72080,8,2004-2004,"[1.0, 1.0, 2.0, 6.0, 6.0]"
actsport,float64,310,72080,2,1987-1987,"[1.0, 1.0]"
tempwork,float64,309,72081,5,2016-2016,"[2.0, 2.0, 5.0, 3.0, 4.0]"
wornojob,float64,309,72081,4,2016-2016,"[3.0, 4.0, 3.0, 1.0]"
moveaway,float64,309,72081,5,2016-2016,"[5.0, 5.0, 5.0, 5.0, 4.0]"
mortravl,float64,309,72081,5,2016-2016,"[3.0, 2.0, 2.0, 4.0, 2.0]"
where4,float64,309,72081,4,1975-2022,"[1.0, 1.0, 1.0, 4.0]"
moveinus,float64,308,72082,5,2016-2016,"[5.0, 2.0, 4.0, 4.0, 5.0]"
uscitznnv,float64,308,72082,2,2021-2022,"[2.0, 2.0]"
votefor,float64,308,72082,2,2002-2002,"[1.0, 1.0]"
lowpay,float64,307,72083,5,2016-2016,"[1.0, 3.0, 3.0, 4.0, 2.0]"
spjew,float64,307,72083,5,1988-2022,"[3.0, 4.0, 4.0, 3.0, 1.0]"
carbuyc,float64,305,72085,2,1996-1996,"[2.0, 2.0]"
carbuye,float64,305,72085,2,1996-1996,"[2.0, 1.0]"
suirace,float64,302,72088,4,1990-1991,"[2.0, 2.0, 2.0, 2.0]"
suisex,float64,302,72088,2,1990-1991,"[1.0, 1.0]"
suiage,float64,302,72088,3,1990-1991,"[2.0, 4.0, 3.0]"
suireg,float64,301,72089,10,1990-1991,"[1.0, 2.0, 2.0, 7.0, 3.0]"
suiwho,float64,301,72089,9,1990-1991,"[7.0, 5.0, 5.0, 10.0, 5.0]"
hsclass2,float64,298,72092,14,1993-1993,"[15.0, 9.0, 10.0, 12.0, 11.0]"
whtschl,float64,296,72094,2,2000-2000,"[1.0, 1.0]"
whtcom,float64,295,72095,2,2000-2000,"[1.0, 1.0]"
rsblng18,float64,295,72095,2,2022-2022,"[1.0, 2.0]"
satjobhv,float64,294,72096,4,2016-2016,"[1.0, 2.0, 1.0, 2.0]"
whtrel,float64,294,72096,2,2000-2000,"[2.0, 1.0]"
paywww,float64,293,72097,3,2000-2000,"[3.0, 1.0, 3.0]"
totmoney,float64,293,72097,68,1991-1991,"[55000.0, 500.0, 2000.0, 1000000.0, 3000.0]"
yrskwn4,float64,292,72098,64,2004-2004,"[3.0, 16.0, 6.0, 2.0, 0.0]"
relsp7,float64,290,72100,17,2000-2022,"[4.0, 4.0, 15.0, 18.0, 41.0]"
brkdtime,float64,288,72102,4,1996-1996,"[2.0, 3.0, 4.0, 2.0]"
extraern,float64,288,72102,5,2016-2016,"[2.0, 4.0, 1.0, 2.0, 1.0]"
kdeduc3,float64,286,72104,15,1994-1994,"[18.0, 17.0, 12.0, 20.0, 16.0]"
jobminw,float64,285,72105,11,2000-2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
artatt4,float64,284,72106,2,2016-2016,"[2.0, 2.0]"
artatt1,float64,284,72106,2,2016-2016,"[2.0, 1.0]"
artatt3,float64,284,72106,2,2016-2016,"[2.0, 1.0]"
artatt5,float64,284,72106,2,2016-2016,"[2.0, 1.0]"
artatt2,float64,284,72106,2,2016-2016,"[1.0, 2.0]"
loanedto,float64,284,72106,6,1996-1996,"[1.0, 4.0, 4.0, 2.0, 2.0]"
frndfnd5,float64,282,72108,3,1998-1998,"[1.0, 2.0, 2.0]"
cidereg,float64,282,72108,10,1989-1990,"[3.0, 8.0, 4.0, 7.0, 5.0]"
perminw,float64,282,72108,5,2000-2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
rgprnt18,float64,281,72109,2,2022-2022,"[2.0, 2.0]"
rfmly18,float64,280,72110,2,2022-2022,"[1.0, 1.0]"
findout,float64,279,72111,2,1991-1991,"[1.0, 2.0]"
numpromo,float64,278,72112,7,1991-1991,"[4.0, 1.0, 3.0, 7.0, 1.0]"
abcon3,float64,278,72112,22,1982-1982,"[3.0, 30.0, 12.0, 5.0, 25.0]"
brkdsym3,float64,277,72113,56,1996-1996,"[907.0, 911.0, 609.0, 704.0, 303.0]"
agehef4,float64,277,72113,7,2022-2022,"[4.0, 1.0, 4.0, 4.0, 1.0]"
ecomminw,float64,277,72113,5,2000-2000,"[0.0, 0.0, 0.0, 30.0, 0.0]"
jobhrw,float64,275,72115,31,2000-2000,"[60.0, 1.0, 25.0, 4.0, 5.0]"
mntlas2,float64,274,72116,16,1996-1996,"[8.0, 8.0, 5.0, 2.0, 4.0]"
rntrltd18,float64,272,72118,2,2022-2022,"[2.0, 2.0]"
incminw,float64,272,72118,6,2000-2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
natborn,float64,270,72120,74,2004-2004,"[10.0, 4.0, 1.0, 21.0, 65.0]"
sbsex8,float64,269,72121,2,1994-1994,"[1.0, 2.0]"
away1,float64,268,72122,1,1975-2022,[1.0]
whydisc5,float64,266,72124,9,2016-2016,"[9.0, 4.0, 1.0, 1.0, 9.0]"
brv5cuznum,float64,266,72124,9,2022-2022,"[0.0, 0.0, 0.0, 1.0, 2.0]"
sbrel8,float64,266,72124,4,1994-1994,"[1.0, 1.0, 1.0, 1.0]"
jobyears,float64,265,72125,56,1991-1991,"[6.5, 10.0, 14.0, 10.0, 5.0]"
lostjobs,float64,265,72125,3,2008-2008,"[3.0, 3.0, 3.0]"
sbalive8,float64,264,72126,2,1994-1994,"[1.0, 1.0]"
scinews1,float64,264,72126,3,2010-2018,"[1.0, 1.0, 1.0]"
whtcls,float64,263,72127,2,2000-2000,"[1.0, 1.0]"
orotcmed,float64,263,72127,10,1996-2006,"[4.0, 8.0, 3.0, 5.0, 5.0]"
robject,float64,260,72130,4,2004-2004,"[3.0, 3.0, 3.0, 3.0]"
rundrstd,float64,259,72131,3,2004-2004,"[3.0, 1.0, 1.0]"
drink1,float64,259,72131,9,2004-2004,"[4.0, 7.0, 9.0, 6.0, 4.0]"
perhrw,float64,257,72133,9,2000-2000,"[1.0, 0.0, 0.0, 0.0, 0.0]"
othrel1,float64,257,72133,11,1996-1998,"[2.0, 2.0, 1.0, 10.0, 1.0]"
brv5othnum,float64,256,72134,12,2022-2022,"[1.0, 3.0, 1.0, 1.0, 1.0]"
where1,float64,254,72136,4,1975-2022,"[2.0, 2.0, 1.0, 2.0]"
travelus,float64,253,72137,3,2004-2004,"[2.0, 4.0, 2.0]"
ecomhrw,float64,252,72138,5,2000-2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
immstats,float64,252,72138,4,2004-2004,"[2.0, 1.0, 2.0, 2.0]"
mntlimp2,float64,251,72139,13,1996-1996,"[108.0, 105.0, 105.0, 102.0, 102.0]"
thisjob6,float64,251,72139,2,1991-1991,"[1.0, 2.0]"
paidemps,float64,250,72140,2,2008-2008,"[2.0, 1.0]"
inchrw,float64,250,72140,9,2000-2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
bornhome,float64,250,72140,4,2004-2004,"[2.0, 1.0, 2.0, 3.0]"
relprivt,float64,250,72140,5,1996-1996,"[5.0, 5.0, 1.0, 4.0, 1.0]"
yearbiz,float64,249,72141,41,2008-2008,"[1996.0, 2006.0, 2000.0, 2004.0, 2008.0]"
kdsex4,float64,249,72141,2,1994-1994,"[2.0, 1.0]"
numown,float64,248,72142,6,2008-2008,"[2.0, 1.0, 3.0, 1.0, 1.0]"
kdyrbrn4,float64,248,72142,57,1994-1994,"[1952.0, 1944.0, 1963.0, 1990.0, 1956.0]"
knwmw3,float64,247,72143,4,2018-2018,"[1.0, 2.0, 2.0, 2.0]"
myprobs3,float64,247,72143,9,2018-2018,"[5.0, 3.0, 7.0, 5.0, 4.0]"
whybiz,float64,247,72143,3,2008-2008,"[2.0, 1.0, 1.0]"
seetalk3,float64,246,72144,10,2018-2018,"[6.0, 1.0, 1.0, 6.0, 1.0]"
mhtreat3,float64,246,72144,3,2018-2018,"[2.0, 2.0, 1.0]"
severe3,float64,246,72144,10,2018-2018,"[10.0, 3.0, 3.0, 7.0, 3.0]"
mntlsym3,float64,246,72144,57,1996-1996,"[208.0, 710.0, 208.0, 706.0, 701.0]"
closeto3,float64,246,72144,10,2018-2018,"[9.0, 4.0, 5.0, 1.0, 5.0]"
polfrel,float64,245,72145,3,2000-2000,"[0.0, 0.0, 0.0]"
poltv,float64,245,72145,3,2000-2000,"[2.0, 2.0, 2.0]"
drink6up,float64,245,72145,8,2004-2004,"[1.0, 1.0, 1.0, 1.0, 5.0]"
kdrel4,float64,245,72145,3,1994-1994,"[1.0, 1.0, 1.0]"
polwww,float64,245,72145,3,2000-2000,"[0.0, 0.0, 2.0]"
polcamp,float64,245,72145,3,2000-2000,"[0.0, 0.0, 0.0]"
typsport,float64,244,72146,2,2004-2004,"[2.0, 2.0]"
numsport,float64,244,72146,5,2004-2004,"[2.0, 2.0, 2.0, 1.0, 3.0]"
dangoth3,float64,244,72146,10,2018-2018,"[1.0, 8.0, 1.0, 1.0, 1.0]"
polmag2,float64,244,72146,3,2000-2000,"[0.0, 2.0, 1.0]"
polpapr,float64,244,72146,3,2000-2000,"[2.0, 1.0, 2.0]"
dangslf3,float64,244,72146,10,2018-2018,"[7.0, 2.0, 2.0, 1.0, 5.0]"
bizshare,float64,244,72146,16,2008-2008,"[100.0, 50.0, 100.0, 100.0, 100.0]"
polmag1,float64,244,72146,3,2000-2000,"[2.0, 0.0, 1.0]"
warrntyc,float64,243,72147,3,1996-1996,"[3.0, 3.0, 3.0]"
drinkday,float64,243,72147,9,2004-2004,"[1.0, 1.0, 2.0, 3.0, 1.0]"
thisjob1,float64,242,72148,2,1991-1991,"[2.0, 1.0]"
thisjob3,float64,242,72148,2,1991-1991,"[1.0, 2.0]"
mtsport1,float64,242,72148,2,2004-2004,"[1.0, 1.0]"
kdalive4,float64,242,72148,2,1994-1994,"[1.0, 1.0]"
yrsport1,float64,242,72148,35,2004-2004,"[10.0, 21.0, 10.0, 7.0, 3.0]"
mhp3r1,float64,242,72148,14,2018-2018,"[10.0, 4.0, 10.0, 7.0, 3.0]"
prob2,float64,240,72150,70,1991-2004,"[74.0, 2.0, 2.0, 26.0, 210.0]"
brkdas2,float64,239,72151,19,1996-1996,"[5.0, 5.0, 2.0, 2.0, 11.0]"
thisjob5,float64,239,72151,2,1991-1991,"[2.0, 2.0]"
thisjob4,float64,238,72152,2,1991-1991,"[1.0, 2.0]"
fstspmed,float64,237,72153,19,1994-1994,"[3.0, 8.0, 12.0, 12.0, 16.0]"
evdwell,float64,236,72154,2,2008-2012,"[2.0, 2.0]"
thisjob2,float64,236,72154,2,1991-1991,"[2.0, 2.0]"
solprof,float64,234,72156,2,1987-1987,"[1.0, 1.0]"
futrdown,float64,234,72156,2,1994-1994,"[2.0, 1.0]"
spkhome2,float64,233,72157,37,1996-2004,"[2.0, 1.0, 2.0, 1.0, 12.0]"
actprof,float64,233,72157,2,1987-1987,"[1.0, 1.0]"
popespky,float64,232,72158,5,2008-2008,"[3.0, 3.0, 3.0, 4.0, 5.0]"
evnegjob,float64,231,72159,2,2008-2012,"[2.0, 2.0]"
evharjb,float64,229,72161,2,2008-2012,"[2.0, 2.0]"
brkddo2,float64,229,72161,21,1996-1996,"[61.0, 69.0, 74.0, 64.0, 81.0]"
evlosejb,float64,228,72162,2,2008-2012,"[2.0, 1.0]"
owninc,float64,227,72163,9,2008-2008,"[1.0, 1.0, 3.0, 1.0, 1.0]"
mar7,float64,227,72163,5,1975-2022,"[1.0, 3.0, 2.0, 5.0, 1.0]"
bizgross,float64,226,72164,9,2008-2008,"[3.0, 9.0, 2.0, 5.0, 1.0]"
moneduc,float64,226,72164,2,1996-1996,"[1.0, 2.0]"
actunion,float64,225,72165,2,1987-1987,"[1.0, 2.0]"
brv5cowknum,float64,225,72165,10,2022-2022,"[0.0, 0.0, 2.0, 3.0, 0.0]"
prfmmostoth,float64,224,72166,14,2016-2016,"[12.0, 3.0, 5.0, 20.0, 1.0]"
brv5momnum,float64,224,72166,4,2022-2022,"[1.0, 1.0, 0.0, 1.0]"
lastyrwk,float64,223,72167,18,2008-2008,"[2008.0, 1980.0, 2008.0, 2007.0, 2007.0]"
solunion,float64,222,72168,2,1987-1987,"[1.0, 1.0]"
thisjob7,float64,221,72169,4,1991-1991,"[2.0, 2.0, 1.0, 2.0]"
fstspped,float64,219,72171,18,1994-1994,"[12.0, 11.0, 8.0, 16.0, 8.0]"
relagent,float64,218,72172,5,1996-1996,"[5.0, 5.0, 5.0, 2.0, 5.0]"
brv5dadnum,float64,217,72173,4,2022-2022,"[0.0, 0.0, 1.0, 1.0]"
maboygrl,float64,217,72173,2,2008-2008,"[2.0, 2.0]"
racecen3,float64,217,72173,15,2000-2022,"[1.0, 10.0, 5.0, 5.0, 1.0]"
typprof,float64,216,72174,2,2004-2004,"[1.0, 2.0]"
sbyrbrn8,float64,216,72174,73,1994-1994,"[1968.0, 1969.0, 1938.0, 1965.0, 1961.0]"
tothlth,float64,215,72175,43,1996-1996,"[200.0, 50.0, 200.0, 50.0, 3.0]"
knowkid2,float64,214,72176,5,2000-2000,"[2.0, 1.0, 2.0, 2.0, 1.0]"
numprof,float64,213,72177,6,2004-2004,"[1.0, 1.0, 2.0, 2.0, 1.0]"
mtprof1,float64,213,72177,2,2004-2004,"[2.0, 2.0]"
whyleave,float64,212,72178,3,2008-2008,"[1.0, 1.0, 1.0]"
brkddur,float64,211,72179,8,1996-1996,"[4.0, 1.0, 1.0, 1.0, 1.0]"
othhrs,float64,210,72180,34,1989-1989,"[10.0, 2.0, 12.0, 1.0, 50.0]"
actschl,float64,210,72180,2,1987-1987,"[1.0, 2.0]"
solschl,float64,209,72181,2,1987-1987,"[1.0, 2.0]"
emminw,float64,208,72182,14,2000-2002,"[1.0, 30.0, 30.0, 30.0, 30.0]"
yrprof1,float64,207,72183,34,2004-2004,"[1.0, 2.0, 23.0, 4.0, 1.0]"
wwwclass,float64,206,72184,3,2000-2000,"[1.0, 1.0, 2.0]"
wwwworld,float64,206,72184,3,2000-2000,"[1.0, 1.0, 1.0]"
wwwrelig,float64,206,72184,3,2000-2000,"[2.0, 1.0, 2.0]"
wwwgthic,float64,206,72184,3,2000-2000,"[1.0, 1.0, 1.0]"
wwwcntry,float64,206,72184,3,2000-2000,"[1.0, 1.0, 1.0]"
wwwjazz,float64,206,72184,3,2000-2000,"[2.0, 1.0, 1.0]"
wwwrock,float64,206,72184,3,2000-2000,"[1.0, 1.0, 2.0]"
wwwoldie,float64,206,72184,3,2000-2000,"[1.0, 1.0, 2.0]"
wwwrap,float64,205,72185,3,2000-2000,"[2.0, 3.0, 1.0]"
typschl,float64,203,72187,2,2004-2004,"[2.0, 2.0]"
monyouth,float64,202,72188,2,1996-1996,"[2.0, 1.0]"
numschl,float64,202,72188,4,2004-2004,"[1.0, 1.0, 2.0, 1.0]"
rclose5,float64,202,72188,2,1985-1985,"[2.0, 1.0]"
youmoney,float64,201,72189,57,1991-1991,"[600.0, 10000.0, 31000.0, 300.0, 18000.0]"
whtwrk,float64,201,72189,2,2000-2000,"[1.0, 1.0]"
mntloth,float64,200,72190,16,1996-1996,"[1211.0, 1209.0, 1209.0, 1211.0, 1214.0]"
mtschl1,float64,199,72191,2,2004-2004,"[1.0, 1.0]"
hrsrelig,float64,198,72192,27,1996-1996,"[4.0, 5.0, 2.0, 24.0, 2.0]"
yearly,float64,198,72192,109,1998-1998,"[22000.0, 10000.0, 120000.0, 62800.0, 39000.0]"
mhtreatd,float64,197,72193,2,2018-2018,"[1.0, 1.0]"
aidssex3,float64,197,72193,2,1989-1993,"[1.0, 1.0]"
aidswho3,float64,197,72193,8,1989-1993,"[10.0, 5.0, 8.0, 5.0, 8.0]"
aidsage3,float64,197,72193,4,1989-1993,"[3.0, 3.0, 4.0, 3.0]"
brv16frndnum,float64,196,72194,12,2022-2022,"[1.0, 0.0, 2.0, 1.0, 12.0]"
aidsrac3,float64,196,72194,4,1989-1993,"[1.0, 1.0, 1.0, 2.0]"
sptmkid2,float64,194,72196,3,2000-2000,"[2.0, 2.0, 3.0]"
freemns3,float64,194,72196,9,2000-2000,"[1.0, 2.0, 9.0, 1.0, 6.0]"
aidsded3,float64,194,72196,2,1989-1993,"[1.0, 2.0]"
aidsreg3,float64,194,72196,9,1989-1993,"[9.0, 3.0, 1.0, 1.0, 9.0]"
kdtmkid2,float64,192,72198,3,2000-2000,"[2.0, 3.0, 2.0]"
tothuman,float64,191,72199,38,1996-1996,"[100.0, 100.0, 50.0, 10.0, 150.0]"
relate9,float64,191,72199,6,1975-2022,"[3.0, 7.0, 3.0, 3.0, 3.0]"
yrschl1,float64,191,72199,25,2004-2004,"[2.0, 3.0, 6.0, 5.0, 2.0]"
timekid3,float64,191,72199,3,2000-2000,"[2.0, 3.0, 3.0]"
gender12,float64,191,72199,2,1975-2022,"[2.0, 2.0]"
solother,float64,190,72200,2,1987-1987,"[2.0, 1.0]"
extraval1,float64,190,72200,12,2022-2022,"[8.0, 8.0, 12.0, 5.0, 3.0]"
gender9,float64,189,72201,2,1975-2022,"[1.0, 2.0]"
old9,float64,189,72201,33,1975-2022,"[7.0, 11.0, 26.0, 13.0, 11.0]"
othyrs,float64,189,72201,34,1998-1998,"[1.0, 11.0, 30.0, 7.0, 18.0]"
artmus1,float64,188,72202,2,2000-2002,"[1.0, 2.0]"
artmus3,float64,188,72202,2,2000-2002,"[2.0, 1.0]"
artinfo,float64,188,72202,2,2000-2002,"[2.0, 1.0]"
artview,float64,188,72202,2,2000-2002,"[2.0, 2.0]"
artmus2,float64,188,72202,2,2000-2002,"[1.0, 1.0]"
actother,float64,188,72202,2,1987-1987,"[1.0, 1.0]"
brv5gmanum,float64,187,72203,3,2022-2022,"[1.0, 1.0, 1.0]"
typdealr,float64,186,72204,2,1996-1996,"[1.0, 1.0]"
inclstjb,float64,186,72204,25,2008-2008,"[6.0, 12.0, 16.0, 16.0, 11.0]"
carbuy1,float64,186,72204,7,1996-1996,"[4.0, 4.0, 1.0, 1.0, 6.0]"
old12,float64,186,72204,72,1975-2022,"[32.0, 32.0, 5.0, 0.0, 30.0]"
toteduc,float64,184,72206,41,1996-1996,"[100.0, 200.0, 16.0, 600.0, 100.0]"
relate12,float64,183,72207,7,1975-2022,"[5.0, 8.0, 3.0, 8.0, 8.0]"
realtorb,float64,182,72208,2,1996-1996,"[1.0, 2.0]"
horseb4,float64,181,72209,2,2018-2018,"[0.0, 0.0]"
dogb4,float64,181,72209,2,2018-2018,"[1.0, 1.0]"
reptileb4,float64,181,72209,2,2018-2018,"[0.0, 0.0]"
birdb4,float64,181,72209,2,2018-2018,"[0.0, 0.0]"
catb4,float64,181,72209,2,2018-2018,"[1.0, 1.0]"
pigb4,float64,181,72209,1,2018-2018,[0.0]
petb4cmfrt,float64,181,72209,4,2018-2018,"[1.0, 2.0, 1.0, 3.0]"
petb4fam,float64,181,72209,4,2018-2018,"[1.0, 1.0, 1.0, 1.0]"
racerank2,float64,181,72209,14,2022-2022,"[15.0, 15.0, 1.0, 1.0, 1.0]"
goatb4,float64,181,72209,1,2018-2018,[0.0]
smammalb4,float64,181,72209,2,2018-2018,"[0.0, 0.0]"
fishb4,float64,181,72209,2,2018-2018,"[0.0, 0.0]"
othpetb4,float64,181,72209,2,2018-2018,"[0.0, 0.0]"
petb4ply,float64,181,72209,4,2018-2018,"[4.0, 4.0, 1.0, 2.0]"
kd3relig,float64,180,72210,11,2008-2012,"[1.0, 2.0, 1.0, 4.0, 13.0]"
frndden4,float64,179,72211,22,1998-1998,"[70.0, 70.0, 30.0, 60.0, 14.0]"
defwrknw,float64,179,72211,2,1984-1984,"[2.0, 1.0]"
leavejb,float64,179,72211,3,2008-2008,"[3.0, 1.0, 1.0]"
sbsex9,float64,179,72211,2,1994-1994,"[1.0, 2.0]"
agecmeus,float64,179,72211,43,2008-2008,"[18.0, 4.0, 42.0, 24.0, 96.0]"
realtore,float64,178,72212,2,1996-1996,"[1.0, 1.0]"
relhhd8,float64,178,72212,13,1993-2022,"[4.0, 19.0, 5.0, 4.0, 5.0]"
spklangw,float64,178,72212,4,2006-2006,"[3.0, 4.0, 1.0, 2.0]"
sbrel9,float64,177,72213,4,1994-1994,"[4.0, 1.0, 1.0, 1.0]"
sbalive9,float64,177,72213,2,1994-1994,"[1.0, 1.0]"
visa,float64,176,72214,2,2008-2008,"[1.0, 1.0]"
agewedcr,float64,173,72217,45,1994-1994,"[35.0, 33.0, 23.0, 33.0, 25.0]"
lawyerg,float64,173,72217,2,1996-1996,"[2.0, 2.0]"
totyouth,float64,173,72217,33,1996-1996,"[25.0, 100.0, 100.0, 200.0, 250.0]"
totfound,float64,172,72218,40,1996-1996,"[500.0, 500.0, 300.0, 100.0, 50.0]"
brkdimp2,float64,172,72218,14,1996-1996,"[107.0, 105.0, 105.0, 104.0, 110.0]"
brkdwhy2,float64,172,72218,54,1996-1996,"[802.0, 803.0, 15.0, 524.0, 39.0]"
brv5filnum,float64,171,72219,2,2022-2022,"[0.0, 0.0]"
fixer1,float64,171,72219,6,1996-1996,"[1.0, 1.0, 1.0, 2.0, 4.0]"
relsp11,float64,171,72219,17,2000-2022,"[4.0, 11.0, 16.0, 13.0, 7.0]"
brv5milnum,float64,168,72222,3,2022-2022,"[0.0, 1.0, 0.0]"
emhro,float64,167,72223,12,2000-2002,"[3.0, 3.0, 2.0, 7.0, 2.0]"
realtorf,float64,165,72225,2,1996-1996,"[2.0, 1.0]"
realtora,float64,165,72225,2,1996-1996,"[2.0, 1.0]"
yrskwn5,float64,164,72226,50,2004-2004,"[25.0, 2.0, 29.0, 11.0, 2.0]"
kd1jwoth,float64,164,72226,3,2008-2012,"[3.0, 2.0, 3.0]"
brv16cuznum,float64,163,72227,7,2022-2022,"[1.0, 0.0, 1.0, 1.0, 4.0]"
kdwork2,float64,163,72227,2,1994-1994,"[2.0, 1.0]"
clsclsex,float64,162,72228,2,2008-2008,"[2.0, 2.0]"
realtorc,float64,162,72228,2,1996-1996,"[2.0, 2.0]"
realtord,float64,162,72228,2,1996-1996,"[2.0, 2.0]"
valhuman,float64,162,72228,22,1996-1996,"[25.0, 0.0, 300.0, 0.0, 400.0]"
brv5gpanum,float64,159,72231,3,2022-2022,"[1.0, 1.0, 1.0]"
