variable,dtype,non_null_count,null_count,unique_values,year_coverage,sample_values
sppres10,float64,34299,38091,61,1972-2022,"[63.0, 39.0, 38.0, 52.0, 49.0]"
wordsum,float64,34251,38139,11,1974-2022,"[5.0, 8.0, 6.0, 4.0, 2.0]"
widowed,float64,34249,38141,2,1987-2022,"[2.0, 2.0]"
spsei10educ,float64,34242,38148,372,1972-2022,"[86.8, 76.9, 22.3, 22.3, 85.7]"
spind10,float64,34211,38179,269,1972-2022,"[8680.0, 6170.0, 9590.0, 1680.0, 9670.0]"
hispanic,float64,34155,38235,29,2000-2022,"[1.0, 30.0, 1.0, 1.0, 1.0]"
hapmar,float64,33999,38391,3,1973-2022,"[1.0, 2.0, 2.0]"
evpaidsx,float64,33930,38460,2,1991-2022,"[2.0, 1.0]"
racopen,float64,33853,38537,3,1973-2022,"[2.0, 1.0, 2.0]"
wordd,float64,33607,38783,2,1974-2022,"[1.0, 1.0]"
partnrs5,float64,33351,39039,10,1991-2022,"[0.0, 1.0, 1.0, 9.0, 2.0]"
wordb,float64,33327,39063,2,1974-2022,"[1.0, 1.0]"
racdif2,float64,33285,39105,2,1977-2022,"[2.0, 2.0]"
racdif3,float64,33262,39128,2,1977-2022,"[2.0, 2.0]"
racdif1,float64,32821,39569,2,1977-2022,"[2.0, 2.0]"
racecen1,float64,32632,39758,16,2000-2022,"[1.0, 1.0, 3.0, 1.0, 1.0]"
racdif4,float64,32544,39846,2,1977-2022,"[2.0, 1.0]"
wordf,float64,32442,39948,2,1974-2022,"[1.0, 1.0]"
worda,float64,32396,39994,2,1974-2022,"[1.0, 1.0]"
wordi,float64,32357,40033,2,1974-2022,"[1.0, 1.0]"
relhh1,float64,32284,40106,1,2000-2022,[1.0]
worde,float64,32205,40185,2,1974-2022,"[1.0, 1.0]"
wksubs,float64,32161,40229,2,1972-2022,"[3.0, 3.0]"
wordj,float64,32035,40355,2,1974-2022,"[1.0, 1.0]"
spisco88,float64,31855,40535,281,1972-2018,"[110.0, 8282.0, 4114.0, 7230.0, 3211.0]"
spisco08,float64,31855,40535,334,1972-2018,"[2635.0, 5223.0, 3432.0, 9111.0, 2342.0]"
helpoth,float64,31824,40566,5,1986-2022,"[2.0, 3.0, 2.0, 2.0, 4.0]"
spanking,float64,31815,40575,4,1986-2022,"[2.0, 2.0, 1.0, 2.0]"
workhard,float64,31807,40583,5,1986-2022,"[3.0, 2.0, 1.0, 3.0, 2.0]"
thnkself,float64,31807,40583,5,1986-2022,"[5.0, 3.0, 1.0, 4.0, 3.0]"
popular,float64,31807,40583,5,1986-2022,"[5.0, 4.0, 5.0, 5.0, 5.0]"
obey,float64,31807,40583,5,1986-2022,"[4.0, 4.0, 4.0, 4.0, 4.0]"
teensex,float64,31778,40612,4,1986-2022,"[1.0, 2.0, 1.0, 4.0]"
isco681,float64,31439,40951,283,1988-2010,"[7520.0, 4519.0, 1330.0, 1219.0, 9594.0]"
prestg80,float64,31434,40956,59,1988-2010,"[48.0, 49.0, 42.0, 42.0, 24.0]"
occ80,float64,31434,40956,490,1988-2010,"[166.0, 357.0, 26.0, 23.0, 585.0]"
sei,float64,31277,41113,338,1988-2010,"[50.5, 51.0, 47.0, 69.7, 56.5]"
indus80,float64,31216,41174,230,1988-2010,"[841.0, 322.0, 842.0, 730.0, 761.0]"
feeused,float64,31018,41372,3,1998-2022,"[1.0, 3.0, 1.0]"
natchld,float64,30805,41585,3,2000-2022,"[1.0, 1.0, 1.0]"
pillok,float64,30771,41619,4,1986-2022,"[4.0, 2.0, 4.0, 2.0]"
relhhd2,float64,30010,42380,18,1993-2022,"[2.0, 2.0, 4.0, 2.0, 2.0]"
lngthinv,float64,30007,42383,1639,1998-2022,"[116.0, 109.0, 116.21666666666667, 106.0, 89.0]"
wordg,float64,29928,42462,2,1974-2022,"[1.0, 0.0]"
god,float64,29605,42785,6,1988-2022,"[5.0, 5.0, 3.0, 6.0, 6.0]"
